date,temp,hum,temp1
26, 12.5, 72.9, 17
27, 15.0, 54.1, 18
28, 12.4, 43.0, 16
29, 16.1, 40.4, 18.5
30, 14.7, 50.6, 18.3
31, 11.6, 64.3, 18.1
32, 10.3, 75.1, 17.4
33, 10.2, 77.6, 17.2
34, 10.7, 73.8, 18
35, 11.4, 80.4, 18.6
36, 9.5, 91.5, 16
37, 10.9, 50.7, 16.8
38, 9.4, 68.8, 17.3 
39, 8.3, 92.1, 18
40, 9.0, 88.0, 18.7
41, 7.9, 81.3, 18.3
42, 8.3, 79.4, 18.2
43, 8.2, 81.4, 18
44, 10.0, 25.7, 17.4
45, 9.2, 37.2, 17.8
46, 6.2, 59.8, 17.9
47, 6.2, 64.1, 16.7
48, 6.7, 67.2, 17.2
49, 6.8, 73.1, 17.1
50, 8.9, 45.1, 17.7